StrainID,ShortStrainCode,RRNATaxonomy,StrainIdentifierValue,StrainNameAlt,RCAMCollectionID
"634","IB2015P212-1HS","","IB2015P212-1HS","IB2015P212-1HS","-"
"635","IB2015P212-2HS","","IB2015P212-2HS","IB2015P212-2HS","-"
"636","IB2015P212-3HS","","IB2015P212-3HS","IB2015P212-3HS","-"
"637","IB2015P213-1HS","","IB2015P213-1HS","IB2015P213-1HS","-"
"638","IB2015P214-1","","IB2015P214-1","IB2015P214-1","-"
"639","IB2015P214-2","","IB2015P214-2","IB2015P214-2","-"
"640","IB2015P214-3","","IB2015P214-3","IB2015P214-3","-"
"641","IB2015P218-1","","IB2015P218-1","IB2015P218-1","-"
"642","IB2015P223-1","","IB2015P223-1","IB2015P223-1","-"
"643","IB2015P227-1","","IB2015P227-1","IB2015P227-1","-"
"644","IB2015P228-1","","IB2015P228-1","IB2015P228-1","-"
"645","IB2015P229-1","","IB2015P229-1","IB2015P229-1","-"
"646","IB2015P229-2","","IB2015P229-2","IB2015P229-2","-"
"647","IB2015P229-1HS","","IB2015P229-1HS","IB2015P229-1HS","-"
"648","IB2015P230-1","","IB2015P230-1","IB2015P230-1","-"
"649","IB2015P233-1","","IB2015P233-1","IB2015P233-1","-"
"650","IB2015P233-1HS","","IB2015P233-1HS","IB2015P233-1HS","-"
"651","IB2015P235-1","","IB2015P235-1","IB2015P235-1","-"
"652","IB2015P235-2","","IB2015P235-2","IB2015P235-2","-"
"653","IB2015P235-1HS","","IB2015P235-1HS","IB2015P235-1HS","-"
"654","IB2015P236-1","","IB2015P236-1","IB2015P236-1","-"
"655","IB2015P246-1HS","","IB2015P246-1HS","IB2015P246-1HS","-"
"656","IB2015P248-1","","IB2015P248-1","IB2015P248-1","-"
"657","IB2015P248-2","","IB2015P248-2","IB2015P248-2","-"
"658","IB2015P249-1","","IB2015P249-1","IB2015P249-1","-"
"659","IB2015P249-2","","IB2015P249-2","IB2015P249-2","-"
"660","IB2015P249-1HS","","IB2015P249-1HS","IB2015P249-1HS","-"
"661","IB2015P250-1","","IB2015P250-1","IB2015P250-1","-"
"662","IB2015P250-2","","IB2015P250-2","IB2015P250-2","-"
"663","IB2015P252-1","","IB2015P252-1","IB2015P252-1","-"
"664","IB2015P253-1","","IB2015P253-1","IB2015P253-1","-"
"665","IB2015P253-2","","IB2015P253-2","IB2015P253-2","-"
