StrainID,ShortStrainCode,RRNATaxonomy,StrainIdentifierValue,StrainNameAlt,RCAMCollectionID
"220","IB 2015A95-9","Streptomyces sp.","Streptomyces sp. IB 2015A95-9","Streptomyces sp. IB 2015A95-9",""
"221","IB 2015A95-12","Streptomyces sp.","Streptomyces sp. IB 2015A95-12","Streptomyces sp. IB 2015A95-12",""
"222","IB 2015A95-14","Streptomyces sp.","Streptomyces sp. IB 2015A95-14","Streptomyces sp. IB 2015A95-14",""
"223","IB 2018U18-12","Nocardia sp.","Nocardia sp. IB 2018U18-12","Nocardia sp. IB 2018U18-12",""
"224","A95-10HS","Streptomyces sp.","Streptomyces sp. IB 2015A95-10HS","Streptomyces sp. IB 2015A95-10HS",""
"225","IB 2015 A96-1","Rhodococcus sp.","Rhodococcus sp. IB 2015 A96-1","Rhodococcus sp. IB 2015 A96-1",""
"226","IB 2015 A96-2","","IB 2015 A96-2","IB 2015 A96-2",""
"227","IB 2015 A96-3","","IB 2015 A96-3","IB 2015 A96-3",""
"228","IB 2015 A96-4","Rhodococcus sp.","Rhodococcus sp. IB 2015 A96-4","Rhodococcus sp. IB 2015 A96-4",""
"229","IB 2015 A96-5","","IB 2015 A96-5","IB 2015 A96-5",""
"230","IB 2015 A96-6","Nocardia sp.","Nocardia sp. IB 2015 A96-6","Nocardia sp. IB 2015 A96-6",""
"231","A96-7","","IB 2015 A96-7","IB 2015 A96-7",""
"232","IB 2015A96-10HS","Streptomyces sp.","Streptomyces sp. IB 2015A96-10HS","Streptomyces sp. IB 2015A96-10HS",""
"233","IB 2015A96-11","Streptomyces sp.","Streptomyces sp. IB 2015A96-11","Streptomyces sp. IB 2015A96-11",""
"234","IB 2015A96-8","Streptomyces sp.","Streptomyces sp. IB 2015A96-8","Streptomyces sp. IB 2015A96-8",""
"235","IB 2015A97-1","Rhodococcus sp.","Rhodococcus sp. IB 2015 A97-1","Rhodococcus sp. IB 2015 A97-1",""
"236","IB 2015A97-6","Micromonospora sp.","Micromonospora sp. IB 2015 A97-6","Micromonospora sp. IB 2015 A97-6",""
"237","IB 2015A97-4HS","Streptomyces sp.","Streptomyces sp. IB 2015A97-4HS","Streptomyces sp. IB 2015A97-4HS",""
"238","IB 2015A97-3","Micromonospora sp.","Micromonospora sp. IB 2015A97-3","Micromonospora sp. IB 2015A97-3",""
"239","IB 2015A97-2HS","Streptomyces sp.","Streptomyces sp. IB 2015A97-2HS","Streptomyces sp. IB 2015A97-2HS",""
"240","IB 2015A97-7","Micromonospora sp.","Micromonospora sp. IB 2015A97-7","Micromonospora sp. IB 2015A97-7",""
"241","IB 2015A98-1","Streptomyces sp.","Streptomyces sp. IB 2015 A98-1","Streptomyces sp. IB 2015 A98-1",""
"242","IB 2015A98-4","Micromonospora sp.","Micromonospora sp. IB 2015A98-4","Micromonospora sp. IB 2015A98-4",""
"243","IB 2015A98-5HS","Streptomyces sp.","Streptomyces sp.IB 2015A98-5HS","Streptomyces sp.IB 2015A98-5HS",""
"244","IB 2015A98-3HS","Streptomyces sp.","Streptomyces sp.  IB 2015A98-3HS","Streptomyces sp.  IB 2015A98-3HS",""
"245","IB 2015A98-2HS","","IB 2015A98-2HS","IB 2015A98-2HS",""
"246","IB 2015A99-1","Streptosporangium sp.","Streptosporangium sp. IB 2015A99-1","Streptosporangium sp. IB 2015A99-1",""
"247","IB 2015A99-2","Streptomyces sp.","Streptomyces sp. IB 2015A99-2","Streptomyces sp. IB 2015A99-2",""
"248","IB 2015A99-3","Rhodococcus sp.","Rhodococcus sp. IB 2015A99-3","Rhodococcus sp. IB 2015A99-3",""
"249","IB 2015A99-4","Streptomyces sp.","Streptomyces sp. IB 2015A99-4","Streptomyces sp. IB 2015A99-4",""
"250","IB 2015A100-1","Streptomyces sp.","Streptomyces sp. IB 2015A100-1","Streptomyces sp. IB 2015A100-1",""
"251","IB 2015A100-2","Streptomyces sp.","Streptomyces sp. IB 2015A100-2","Streptomyces sp. IB 2015A100-2",""
"252","IB 2015A100-3","Streptomyces sp.","Streptomyces sp. IB 2015A100-3","Streptomyces sp. IB 2015A100-3",""
"253","IB 2015A100-4","Streptomyces sp.","Streptomyces sp. IB 2015A100-4","Streptomyces sp. IB 2015A100-4",""
"254","IB 2015A100-11","Streptomyces sp.","Streptomyces sp. IB 2015 A100-11","Streptomyces sp. IB 2015 A100-11",""
"255","IB 2015A100-5","Streptomyces sp.","Streptomyces sp.IB 2015 A100-5","Streptomyces sp.IB 2015 A100-5",""
"256","IB 2015A100-9HS","Streptomyces sp.","Streptomyces sp. IB 2015A100-9HS","Streptomyces sp. IB 2015A100-9HS",""
"257","IB 2015A100-12HS","Streptomyces sp.","Streptomyces sp. IB 2015A100-12HS","Streptomyces sp. IB 2015A100-12HS",""
"258","IB 2015A100-8","Streptomyces sp.","Streptomyces sp. IB 2015A100-8","Streptomyces sp. IB 2015A100-8",""
"259","IB 2015A100-10HS","Streptomyces sp.","Streptomyces sp. IB 2015A100-10HS","Streptomyces sp. IB 2015A100-10HS",""
"260","IB 2016G78-1","","IB 2016G78-1","IB 2016G78-1",""
"261","IB 2015 A100-7HS","","IB2015 A100-7HS","IB2015 A100-7HS",""
"262","IB 2015 A100-7HS","","IB 2015 A100-7HS","IB 2015 A100-7HS",""
"263","IB2018U33-1","","IB2018U33-1","IB2018U33-1",""
"264","IB 2018U18-13","Streptomyces sp.","Streptomyces sp. IB 2018U18-13","Streptomyces sp. IB 2018U18-13",""
"265","IB2015R28-1HS100","Streptomyces sp.","Streptomyces sp. IB2015R28-1HS100","Streptomyces sp. IB2015R28-1HS100",""
"266","IB 2018U35-7HS","Streptomyces sp.","Streptomyces sp. IB 2018U35-7HS","Streptomyces sp. IB 2018U35-7HS",""
"267","IB 2016R78-15HS","","IB 2016R78-15HS","IB 2016R78-15HS",""
"268","IB 2018P33-1","Streptomyces sp.","Streptomyces sp.  IB 2018P33-1","Streptomyces sp.  IB 2018P33-1",""
"269","IB 2016G35-2HS","Streptomyces sp.","Streptomyces sp. IB 2016G35-2HS","Streptomyces sp. IB 2016G35-2HS",""
"270","IB 2016G18-3HS","Streptomyces sp.","Streptomyces sp. IB 2016G18-3HS","Streptomyces sp. IB 2016G18-3HS",""
"271","IB 2016G35-3HS","Streptomyces sp.","Streptomyces sp. IB 2016G35-3HS","Streptomyces sp. IB 2016G35-3HS",""
"272","IB 2015I1-3","","IB 2015I1-3","IB 2015I1-3",""
"273","IB 2015I3-1","Streptomyces sp.","Streptomyces sp. IB 2015I3-1","Streptomyces sp. IB 2015I3-1",""
"274","IB 2015I4-1","Saccharopolyspora sp.","Saccharopolyspora sp.IB 2015I4-1","Saccharopolyspora sp.IB 2015I4-1",""
"275","IB 2015I4-2","Saccharopolyspora sp.","Saccharopolyspora sp. IB 2015I4-2","Saccharopolyspora sp. IB 2015I4-2",""
"276","IB 2015I6-1","","IB 2015I6-1","IB 2015I6-1",""
"277","IB 2015I6-2","Streptomyces sp.","Streptomyces sp. IB 2015I6-2","Streptomyces sp. IB 2015I6-2",""
"278","IB 2015I7-1","Streptomyces sp.","Streptomyces sp.  IB 2015I7-1","Streptomyces sp.  IB 2015I7-1",""
"279","IB 2015I7-2","Streptomyces sp.","Streptomyces sp.  IB 2015I7-2","Streptomyces sp.  IB 2015I7-2",""
"280","IB 2015I7-3","Rhodococcus sp.","Rhodococcus sp. IB 2015I7-3","Rhodococcus sp. IB 2015I7-3",""
"281","IB 2015I8-1","Streptomyces sp.","Streptomyces sp.  IB 2015I8-1","Streptomyces sp.  IB 2015I8-1","RCAM04729"
"282","IB 2015I9-1","Streptomyces sp.","Streptomyces sp. IB 2015I9-1","Streptomyces sp. IB 2015I9-1","RCAM04735"
"283","IB 2015I9-2","Nonomuraea sp.","Nonomuraea sp. IB 2015I9-2","Nonomuraea sp. IB 2015I9-2","RCAM04748"
"284","IB 2015I10-2","Sacharopolyspora sp.","Sacharopolyspora sp. IB 2015I10-2","Sacharopolyspora sp. IB 2015I10-2","RCAM04749"
"285","IB 2015I12-1","Micromonospora sp.","Micromonospora sp.IB 2015I12-1","Micromonospora sp.IB 2015I12-1","RCAM04747"
"286","IB 2015I12-2","Streptomyces sp.","Streptomyces sp.IB 2015I12-2","Streptomyces sp.IB 2015I12-2","RCAM04738"
"287","IB 2015I19-2","Streptomyces sp.","Streptomyces sp.  IB 2015I19-2","Streptomyces sp.  IB 2015I19-2",""
"288","IB 2018U18-1","Streptomyces sp.","Streptomyces sp. IB 2018U18-2","Streptomyces sp. IB 2018U18-2",""
"289","IB 2018U18-2","Streptomyces sp.","Streptomyces sp. IB 2018U18-2","Streptomyces sp. IB 2018U18-2",""
"290","IB 2018U18-3","Streptomyces sp.","Streptomyces sp. IB 2018U18-3","Streptomyces sp. IB 2018U18-3",""
"291","IB 2018U18-3","Streptomyces sp.","Streptomyces sp. IB 2018U18-4","Streptomyces sp. IB 2018U18-4",""
"292","IB 2018U18-4","Micromonospora sp.","Micromonospora sp. IB 2018U18-4","Micromonospora sp. IB 2018U18-4",""
"293","IB 2018U18-5","Streptomyces sp.","Streptomyces sp. IB 2014I18-5","Streptomyces sp. IB 2014I18-5",""
"294","IB 2018U18-6","Streptomyces sp.","Streptomyces sp. IB 2018U18-6","Streptomyces sp. IB 2018U18-6",""
"295","IB 2018U18-7","Streptomyces sp.","Streptomyces sp. IB 2018U18-7","Streptomyces sp. IB 2018U18-7",""
"296","IB 2018U18-8","Streptomyces sp.","Streptomyces sp. IB 2018U18-8","Streptomyces sp. IB 2018U18-8",""
"297","IB 2018U18-9","Streptomyces sp.","Streptomyces sp. IB 2018U18-9","Streptomyces sp. IB 2018U18-9",""
"298","IB 2018U18-10","Streptomyces sp.","Streptomyces sp. IB 2018U18-10","Streptomyces sp. IB 2018U18-10",""
"299","IB 2018U18-11","Streptomyces sp.","Streptomyces sp. IB 2018U18-11","Streptomyces sp. IB 2018U18-11",""
"300","IB2018U99-1","Streptomyces sp.","Streptomyces sp. IB 2018U99-1","Streptomyces sp. IB 2018U99-1",""
"301","IB 2018U35-1HS","Streptomyces sp.","Streptomyces sp.IB 2018U35-1HS","Streptomyces sp.IB 2018U35-1HS",""
"302","IB 2015I20-1","","IB 2015I20-1","IB 2015I20-1",""
"303","IB 2015I20-3","Streptomyces sp.","Streptomyces sp.  IB 2015I20-3","Streptomyces sp.  IB 2015I20-3",""
"304","IB 2015I23-1","Streptomyces sp.","Streptomyces sp.  IB 2015I23-1","Streptomyces sp.  IB 2015I23-1",""
"305","IB 2018U25-2HS","Streptomyces sp.","Streptomyces sp.IB 2018U25-2HS","Streptomyces sp.IB 2018U25-2HS",""
"306","IB 2014I28-1","Microbacterium sp.","Microbacterium sp. IB 2014I28-1","Microbacterium sp. IB 2014I28-1",""
"307","IB 2015I32-1","Janibacter sp.","Janibacter sp. IB 2015I32-1","Janibacter sp. IB 2015I32-1",""
"308","IB 2018U33-7","Streptomyces sp.","Streptomyces sp. IB 2018U33-7","Streptomyces sp. IB 2018U33-7",""
"309","IB 2018U33-2","Streptomyces sp.","Streptomyces sp. IB 2018U33-2","Streptomyces sp. IB 2018U33-2",""
"310","IB 2018U33-3","Micromonospora sp.","Micromonospora sp. IB 2018U33-3","Micromonospora sp. IB 2018U33-3",""
"311","IB2019U13-1","","IB2019U13-1","IB2019U13-1",""
"312","IB 2018U33-5HS","Micromonospora sp.","Micromonospora sp. IB 2018U33-5HS","Micromonospora sp. IB 2018U33-5HS",""
"313","IB 2018U33-6HS","Streptomyces sp.","Streptomyces sp. IB 2018U33-6HS","Streptomyces sp. IB 2018U33-6HS",""
"314","IB 2018U33-11HS","Streptomyces sp.","Streptomyces sp. IB 2018U33-11HS","Streptomyces sp. IB 2018U33-11HS",""
"315","IB 2018U33-12HS","Streptomyces sp.","Streptomyces sp. IB 2018U33-12HS","Streptomyces sp. IB 2018U33-12HS",""
"316","IB 2018U33-14HS","Rhodococcus sp.","Rhodococcus sp. IB 2018U33-14HS","Rhodococcus sp. IB 2018U33-14HS",""
"317","IB 2018U33-15HS","Streptomyces sp.","Streptomyces sp. IB 2018U33-15HS","Streptomyces sp. IB 2018U33-15HS",""
"318","IB 2015I34-1","Rhodococcus sp.","Rhodococcus sp.IB 2015I34-1","Rhodococcus sp.IB 2015I34-1",""
"319","IB 2015I24-1","","IB 2015I24-1","IB 2015I24-1",""
"320","IB 2019U35-1","Streptomyces sp.","Streptomyces sp. IB 2019U35-1","Streptomyces sp. IB 2019U35-1",""
"321","IB 2019U16-2","","IB 2019U16-2","IB 2019U16-2",""
"322","IB 2018U35-6HS","Rhodococcus sp.","Rhodococcus sp. IB 2018U35-6HS","Rhodococcus sp. IB 2018U35-6HS",""
"323","IB 2018U35-9HS","Micromonospora sp.","Micromonospora sp.IB 2018U35-9HS","Micromonospora sp.IB 2018U35-9HS",""
"324","IB 2018U35-5HS","Streptomyces sp.","Streptomyces sp. IB 2018U35-5HS","Streptomyces sp. IB 2018U35-5HS",""
"325","IB 2018U35-4HS","Streptomyces sp.","Streptomyces sp. IB 2018U35-4HS","Streptomyces sp. IB 2018U35-4HS",""
"326","IB 2015I36-1","Streptomyces sp.","Streptomyces sp.  IB 2015I36-1","Streptomyces sp.  IB 2015I36-1",""
"327","IB 2015I36-2","Streptomyces sp.","Streptomyces sp. IB 2015I36-2","Streptomyces sp. IB 2015I36-2",""
"328","IB 2014I73-1","Streptomyces sp.","Streptomyces sp. IB 2014I73-1","Streptomyces sp. IB 2014I73-1",""
"329","IB 2014I73-1HS","Streptomyces sp.","Streptomyces sp. IB 2014I73-1HS","Streptomyces sp. IB 2014I73-1HS",""
"330","IB 2014I74-1","Streptomyces sp.","Streptomyces sp. IB 2014I74-1","Streptomyces sp. IB 2014I74-1",""
"331","IB 2014I74-2","Streptomyces sp.","Streptomyces sp. IB 2014I74-2","Streptomyces sp. IB 2014I74-2",""
"332","IB 2014I74-3","Streptomyces sp.","Streptomyces sp. IB 2014I74-3","Streptomyces sp. IB 2014I74-3","RCAM04093"
"333","IB2019U10-1","","IB2019U10-1","IB2019U10-1",""
"334","IB2019U10-2","","IB2019U10-2","IB2019U10-2",""
"335","IB 2014I73-2HS","Streptomyces sp.","Streptomyces sp. IB 2014I73-2HS","Streptomyces sp. IB 2014I73-2HS",""
"336","IB 2014I 74-4","Streptomyces sp.","Streptomyces sp. IB 2014I74-4","Streptomyces sp. IB 2014I74-4",""
"337","IB 2014I 74-5","Streptomyces sp.","Streptomyces sp. IB 2014I74-5","Streptomyces sp. IB 2014I74-5",""
"338","IB 2014I74-1HS","Streptomyces sp.","Streptomyces sp. IB 2014I74-1HS","Streptomyces sp. IB 2014I74-1HS",""
"339","IB 2014I74-2HS","Streptomyces sp.","Streptomyces sp. IB 2014I74-2HS","Streptomyces sp. IB 2014I74-2HS",""
"340","IB 2014I74-3HS","Streptomyces sp.","Streptomyces sp.  IB 2014I74-3HS","Streptomyces sp.  IB 2014I74-3HS",""
"341","IB 2014I74-4HS","Streptomyces sp.","Streptomyces sp. IB 2014I74-4HS","Streptomyces sp. IB 2014I74-4HS",""
"342","IB 2014I74-6HS","Streptomyces sp.","Streptomyces sp. IB 2014I74-6HS","Streptomyces sp. IB 2014I74-6HS",""
"343","IB 2014I74-7HS","Streptomyces sp.","Streptomyces sp. IB 2014I74-7HS","Streptomyces sp. IB 2014I74-7HS",""
"344","IB 2014I75-1","Streptomyces sp.","Streptomyces sp. IB 2014I75-1","Streptomyces sp. IB 2014I75-1",""
"345","IB 2014I75-1HS","Streptomyces sp.","Streptomyces sp. IB 2014I75-1HS","Streptomyces sp. IB 2014I75-1HS",""
"346","IB 2014I75-2HS","Streptomyces sp.","Streptomyces sp. IB 2014I75-2HS","Streptomyces sp. IB 2014I75-2HS",""
"347","IB 2014I75-4HS","Streptomyces sp.","Streptomyces sp. IB 2014I75-4HS","Streptomyces sp. IB 2014I75-4HS",""
"348","IB 2014I76-2HS","Rhodococcus sp.","Rhodococcus sp.IB 2014I76-2HS","Rhodococcus sp.IB 2014I76-2HS","RCAM04094"
"349","IB 2014I76-7HS","Micromonospora sp.","Micromonospora sp.IB 2014I76-7HS","Micromonospora sp.IB 2014I76-7HS","RCAM04096"
"350","IB 2014I77-1","Streptomyces sp.","Streptomyces sp. IB 2014I77-1","Streptomyces sp. IB 2014I77-1",""
"351","IB 2014I77-2","Amycolatopsis sp.","Amycolatopsis sp.IB 2014I77-2","Amycolatopsis sp.IB 2014I77-2","RCAM04097"
"352","IB 2014I77-6HS","Micromonospora sp.","Micromonospora sp.IB 2014I77-6HS","Micromonospora sp.IB 2014I77-6HS","RCAM04095"
"353","IB 2014I78-1","Streptomyces sp.","Streptomyces sp. IB 2014I78-1","Streptomyces sp. IB 2014I78-1",""
"354","IB 2014I78-2","Streptomyces sp.","Streptomyces sp. IB 2014I78-2","Streptomyces sp. IB 2014I78-2",""
"355","IB 2014I78-3","Streptomyces sp.","Streptomyces sp. IB 2014I78-3","Streptomyces sp. IB 2014I78-3",""
"356","IB 2014I78-4","","IB 2014I78-4","IB 2014I78-4",""
"357","IB 2014I78-6","Streptomyces sp.","Streptomyces sp. IB 2014I78-6","Streptomyces sp. IB 2014I78-6",""
"358","IB 2014I78-7","Streptomyces sp.","Streptomyces sp. IB 2014I78-7","Streptomyces sp. IB 2014I78-7",""
"359","IB 2014I 78-8","Streptomyces sp.","Streptomyces sp. IB 2014I78-8","Streptomyces sp. IB 2014I78-8","RCAM03472"
"360","IB 2014I78-9","Streptomyces sp.","Streptomyces sp. IB 2014I78-9","Streptomyces sp. IB 2014I78-9",""
"361","IB 2014I78-10","Streptomyces sp.","Streptomyces sp. IB 2014I78-10","Streptomyces sp. IB 2014I78-10",""
"362","IB 2014I78-11","Streptomyces sp.","Streptomyces sp. IB 2014I78-11","Streptomyces sp. IB 2014I78-11",""
"363","IB 2014I78-12","Streptomyces sp.","Streptomyces sp. IB 2014I78-12","Streptomyces sp. IB 2014I78-12",""
"364","IB 2014I78-14","","IB 2014I78-14","IB 2014I78-14",""
"365","IB 2014I79-1","Nocardia sp.","Nocardia sp. IB 2014I79-1","Nocardia sp. IB 2014I79-1","RCAM04743"
"366","IB 2014I79-3","Nocardiopsis sp.","Nocardiopsis sp. IB 2014I79-3","Nocardiopsis sp. IB 2014I79-3",""
"367","IB 2014I 79-4","Nocardia sp.","Nocardia sp. IB 2014I79-4","Nocardia sp. IB 2014I79-4","RCAM04744"
"368","IB 2014I79-5","Nocardiopsis sp.","Nocardiopsis sp. IB 2014I79-5","Nocardiopsis sp. IB 2014I79-5",""
"369","IB 2014I 79-2HS","Nocardia sp.","Nocardia sp. IB 2014I79-2HS","Nocardia sp. IB 2014I79-2HS",""
"370","IB 2014I79-3HS","Nocardia sp.","Nocardia sp. IB 2014I79-3HS","Nocardia sp. IB 2014I79-3HS","RCAM04742"
"371","IB 2014I 88-1","Streptomyces sp.","Streptomyces sp. IB 2014I88-1","Streptomyces sp. IB 2014I88-1","RCAM04727"
"372","IB 2014I 88-2","Streptomyces sp.","Streptomyces sp. IB 2014I88-2","Streptomyces sp. IB 2014I88-2","RCAM04736"
"373","IB 2014I 88-3","Streptomyces sp.","Streptomyces sp. IB 2014I88-3","Streptomyces sp. IB 2014I88-3","RCAM04732"
"374","IB 2014I 88-4","Streptomyces sp.","Streptomyces sp. IB 2014I88-4","Streptomyces sp. IB 2014I88-4","RCAM04730"
"375","IB 2014I 88-6","Streptomyces sp.","Streptomyces sp. IB 2014I88-6","Streptomyces sp. IB 2014I88-6","RCAM04739"
"376","IB 2014I 88-7","Streptomyces sp.","Streptomyces sp. IB 2014I88-7","Streptomyces sp. IB 2014I88-7",""
"377","IB 2014I88-8","Streptomyces sp.","Streptomyces sp. IB 2014I88-8","Streptomyces sp. IB 2014I88-8",""
"378","IB 2014I88-1HS","Nocardia sp.","Nocardia sp. IB 2014I88-1HS","Nocardia sp. IB 2014I88-1HS",""
"379","IB 2014I88-2HS","Streptomyces sp.","Streptomyces sp. IB 2014I88-2HS","Streptomyces sp. IB 2014I88-2HS","RCAM04740"
"380","IB 2014I88-3HS","Streptomyces sp.","Streptomyces IB 2014I88-3HS","Streptomyces IB 2014I88-3HS","RCAM04734"
"381","IB 2014I88-4HS","Streptomyces sp.","Streptomyces IB 2014I88-4HS","Streptomyces IB 2014I88-4HS",""
"382","IB 2014I88-6HS","Streptomyces sp.","StreptomycesIB 2014I88-6HS","StreptomycesIB 2014I88-6HS","RCAM04728"
"383","IB 2018U99-5","Streptomyces sp.","Streptomyces sp. IB 2018U99-5","Streptomyces sp. IB 2018U99-5",""
"384","IB 2018U99-4","Streptomyces sp.","Streptomyces sp. IB 2018U99-4","Streptomyces sp. IB 2018U99-4",""
"385","IB2019K1-1","","IB2019K1-1","IB2019K1-1",""
"386","IB2019K2-1","","IB2019K2-1","IB2019K2-1",""
"387","IB 2018U99-3HS","Streptomyces sp.","Streptomyces sp. IB 2018U99-3HS","Streptomyces sp. IB 2018U99-3HS",""
"388","IB 2014I100-1","Nocardia sp.","Nocardia sp. IB 2014I100-1","Nocardia sp. IB 2014I100-1",""
"389","IB 2014I100-2","Nocardia sp.","Nocardia sp. IB 2014I100-2","Nocardia sp. IB 2014I100-2",""
"390","IB 2014I100-3","Nocardia sp.","Nocardia sp. IB 2014I100-3","Nocardia sp. IB 2014I100-3",""
"391","IB 2014I100-4","Nocardia sp.","Nocardia sp. IB 2014I100-4","Nocardia sp. IB 2014I100-4",""
"392","IB 2014I100-5","Nocardia sp.","Nocardia sp. IB 2014I100-5","Nocardia sp. IB 2014I100-5","RCAM 03475"
"393","IB 2014I100-1HS","Nocardia sp.","Nocardia sp. IB 2014I100-1HS","Nocardia sp. IB 2014I100-1HS",""
"394","IB 2014I100-2HS","Nocardia sp.","Nocardia sp. IB 2014I100-2HS","Nocardia sp. IB 2014I100-2HS",""
"395","IB 2014I100-3HS","Nocardia sp.","Nocardia sp. IB 2014I100-3HS","Nocardia sp. IB 2014I100-3HS",""
"396","IB 2018U99-9HS","Streptomyces sp.","Streptomyces sp. IB 2018U99-9HS","Streptomyces sp. IB 2018U99-9HS",""
"397","IB 2015G33-1HS","Streptomyces sp.","Streptomyces sp. IB 2015G33-1HS","Streptomyces sp. IB 2015G33-1HS",""
"398","IB 2016G78-2","","IB 2016G78-2","IB 2016G78-2",""
"399","IB 2016S40-2","Streptomyces sp.","Streptomyces sp.IB 2016S40-2","Streptomyces sp.IB 2016S40-2",""
"400","IB 2016S40-1","","IB 2016S40-1","IB 2016S40-1",""
"401","IB 2016S42-1","Streptomyces sp.","Streptomyces sp. IB 2016S42-1","Streptomyces sp. IB 2016S42-1",""
"402","IB 2016S42-1HS","","IB 2016S42-1HS","IB 2016S42-1HS",""
"403","IB 2016S41-2","Streptomyces sp.","Streptomyces sp.IB 2016S41-2","Streptomyces sp.IB 2016S41-2",""
"404","IB 2016G99-2","Streptomyces sp.","Streptomyces sp.IB 2016G99-2","Streptomyces sp.IB 2016G99-2",""
"405","IB 2015I39-1HS","","IB 2015I39-1HS","IB 2015I39-1HS",""
"406","IB 2015I37-1","Streptomyces sp.","Streptomyces sp. IB 2015I37-1","Streptomyces sp. IB 2015I37-1",""
"407","IB 2015I37-2HS","Streptomyces sp.","Streptomyces sp. IB 2015I37-2HS","Streptomyces sp. IB 2015I37-2HS",""
"408","IB 2015I37-3HS","Streptomyces sp.","Streptomyces sp. IB 2015I37-3HS","Streptomyces sp. IB 2015I37-3HS",""
"409","IB 2015I37-4","","IB 2015I37-4","IB 2015I37-4",""
"410","IB2017D11-1","Streptomyces sp.IB2017D11-1","IB2017D11-1","IB2017D11-1",""
"411","IB2017D11-2","Streptomyces sp.","Streptomyces sp. IB2017D11-2","Streptomyces sp. IB2017D11-2",""
"412","IB2017D16-1HS","Rhodococcus sp.","Rhodococcus sp.IB2017D16-1HS","Rhodococcus sp.IB2017D16-1HS",""
"413","IB2017M44-1","","IB2017M44-1","IB2017M44-1",""
"414","IB2017M44-2","","IB2017M44-2","IB2017M44-2",""
"415","IB2017M45-1(AIA)","","IB2017M45-1(AIA)","IB2017M45-1(AIA)",""
"416","IB2017M45-2(MS)","","IB2017M45-2(MS)","IB2017M45-2(MS)",""
"417","IB2017M78-1","","IB2017M78-1","IB2017M78-1",""
"418","IB2017M78-2","","IB2017M78-2","IB2017M78-2",""
"419","IB2017M78-3","","IB2017M78-3","IB2017M78-3",""
"420","IB2017M78-7","","IB2017M78-7","IB2017M78-7",""
"421","IB2015P10-1","Pseudonocardia sp.","Pseudonocardia sp. IB2015P10-1","Pseudonocardia sp. IB2015P10-1","RCAM04751"
"422","IB2015P11-1","Micromonospora sp.","Micromonospora sp. IB2015P11-1","Micromonospora sp. IB2015P11-1","-"
"423","IB2015P11-2","Micromonospora sp.","Micromonospora sp. IB2015P11-2","Micromonospora sp. IB2015P11-2","RCAM04746"
"424","IB2015P11-3","Streptomyces sp.","Streptomyces sp. IB2015P11-3","Streptomyces sp. IB2015P11-3","-"
"425","IB2015P11-4","Micromonospora sp.","Micromonospora sp. IB2015P11-4","Micromonospora sp. IB2015P11-4","-"
"426","IB2015P14-2","Amylocatopsis sp.","Amylocatopsis sp. IB2015P14-2","Amylocatopsis sp. IB2015P14-2","RCAM04750"
"427","IB2015P20-1","","IB2015P20-1","IB2015P20-1","-"
"428","IB2015P20-2","","IB2015P20-2","IB2015P20-2","-"
"429","IB2015P22-1","","IB2015P22-1","IB2015P22-1","-"
"430","IB2015P22-2","","IB2015P22-2","IB2015P22-2","-"
"431","IB2015P22-3","Pseudonocardia sp.","Pseudonocardia sp. IB2015P22-3","Pseudonocardia sp. IB2015P22-3","-"
"432","IB2015P22-4","Streptomyces sp.","Streptomyces sp. IB2015P22-4","Streptomyces sp. IB2015P22-4","-"
"433","IB2015P23-1","","IB2015P23-1","IB2015P23-1","-"
"434","IB2015P25-1","","IB2015P25-1","IB2015P25-1","-"
"435","IB2015P28-1","","IB2015P28-1","IB2015P28-1","-"
"436","IB2015P28-2","","IB2015P28-2","IB2015P28-2","-"
"437","IB2015P28-3","","IB2015P28-3","IB2015P28-3","-"
"438","IB2015P31-1","","IB2015P31-1","IB2015P31-1","-"
"439","IB2015P32-2","Micromonospora sp.","Micromonospora sp. IB2015P32-2","Micromonospora sp. IB2015P32-2","-"
"440","IB 2014I79-1HS","Nocardia sp.","Nocardia sp. IB 2014I79-1HS","Nocardia sp. IB 2014I79-1HS",""
"441","IB2015P35-1","","IB2015P35-1","IB2015P35-1","-"
"442","IB2015P36-1","Streptomyces sp.","Streptomyces sp. IB2015P36-1","Streptomyces sp. IB2015P36-1","-"
"443","IB2015P36-2","","IB2015P36-2","IB2015P36-2","-"
"444","IB2015P37-1","Streptomyces sp.","Streptomyces sp. IB2015P37-1","Streptomyces sp. IB2015P37-1","-"
"445","IB2015P38-1","","IB2015P38-1","IB2015P38-1","-"
"446","IB2015P38-2","Micromonospora sp.","Micromonospora sp. IB2015P38-2","Micromonospora sp. IB2015P38-2","-"
"447","IB2015P38-3","","IB2015P38-3","IB2015P38-3","-"
"448","IB2015P38-4","","IB2015P38-4","IB2015P38-4","-"
"449","IB2015P38-5","Streptomyces sp.","Streptomyces sp. IB2015P38-5","Streptomyces sp. IB2015P38-5","-"
"450","IB2015P38-6","","IB2015P38-6","IB2015P38-6","-"
"451","IB2015P39-1","","IB2015P39-1","IB2015P39-1","-"
"452","IB2015P39-2","","IB2015P39-2","IB2015P39-2","-"
"453","IB2015P39-3","","IB2015P39-3","IB2015P39-3","-"
"454","IB2015P39-4","","IB2015P39-4","IB2015P39-4","-"
"455","IB2015P50-1","","IB2015P50-1","IB2015P50-1","-"
"456","IB2015P51-1","","IB2015P51-1","IB2015P51-1","-"
"457","IB2015P51-2","","IB2015P51-2","IB2015P51-2","-"
