StorageID,BoxIDValue,CellIDValue
"1185","15","G5"
"1186","15","G6"
"1187","15","G7"
"1188","15","G8"
"1189","15","G9"
"1190","15","H1"
"1191","15","H2"
"1192","15","H3"
"1193","15","H4"
"1194","15","H5"
"1195","15","H6"
"1196","15","H7"
"1197","15","H8"
"1198","15","H9"
"1199","15","I1"
"1200","15","I2"
"1201","15","I3"
"1202","15","I4"
"1203","15","I5"
"1204","15","I6"
"1205","15","I7"
"1206","15","I8"
"1207","15","I9"
"1208","16","A1"
"1209","16","A2"
"1210","16","A3"
"1211","16","A4"
"1212","16","A5"
"1213","16","A6"
"1214","16","A7"
"1215","16","A8"
"1216","16","A9"
"1217","16","B1"
"1218","16","B2"
"1219","16","B3"
"1220","16","B4"
"1221","16","B5"
"1222","16","B6"
"1223","16","B7"
"1224","16","B8"
"1225","16","B9"
"1226","16","C1"
"1227","16","C2"
"1228","16","C3"
"1229","16","C4"
"1230","16","C5"
"1231","16","C6"
"1232","16","C7"
"1233","16","C8"
"1234","16","C9"
"1235","16","D1"
"1236","16","D2"
"1237","16","D3"
"1238","16","D4"
"1239","16","D5"
"1240","16","D6"
"1241","16","D7"
"1242","16","D8"
"1243","16","D9"
"1244","16","E1"
"1245","16","E2"
"1246","16","E3"
"1247","16","E4"
"1248","16","E5"
"1249","16","E6"
"1250","16","E7"
"1251","16","E8"
"1252","16","E9"
"1253","16","F1"
"1254","16","F2"
"1255","16","F3"
"1256","16","F4"
"1257","16","F5"
"1258","16","F6"
"1259","16","F7"
"1260","16","F8"
"1261","16","F9"
"1262","16","G1"
"1263","16","G2"
"1264","16","G3"
"1265","16","G4"
"1266","16","G5"
"1267","16","G6"
"1268","16","G7"
"1269","16","G8"
"1270","16","G9"
"1271","16","H1"
"1272","16","H2"
"1273","16","H3"
"1274","16","H4"
"1275","16","H5"
"1276","16","H6"
"1277","16","H7"
"1278","16","H8"
"1279","16","H9"
"1280","16","I1"
"1281","16","I2"
"1282","16","I3"
"1283","16","I4"
"1284","16","I5"
"1285","16","I6"
"1286","16","I7"
"1287","16","I8"
"1288","16","I9"
"1289","17","A1"
"1290","17","A2"
"1291","17","A3"
"1292","17","A4"
"1293","17","A5"
"1294","17","A6"
"1295","17","A7"
"1296","17","A8"
"1297","17","A9"
"1298","17","B1"
"1299","17","B2"
"1300","17","B3"
"1301","17","B4"
"1302","17","B5"
"1303","17","B6"
"1304","17","B7"
"1305","17","B8"
"1306","17","B9"
"1307","17","C1"
"1308","17","C2"
"1309","17","C3"
"1310","17","C4"
"1311","17","C5"
"1312","17","C6"
"1313","17","C7"
"1314","17","C8"
"1315","17","C9"
"1316","17","D1"
"1317","17","D2"
"1318","17","D3"
"1319","17","D4"
"1320","17","D5"
"1321","17","D6"
"1322","17","D7"
"1323","17","D8"
"1324","17","D9"
"1325","17","E1"
"1326","17","E2"
"1327","17","E3"
"1328","17","E4"
"1329","17","E5"
"1330","17","E6"
"1331","17","E7"
"1332","17","E8"
"1333","17","E9"
